,id,loc,correct_location
349,1.4475570022097265e+18,🇨🇵 🇷🇴 ,🇨🇵 🇷🇴 
350,1.4481973057279508e+18,Quelque part,Quelque part
351,1.4482687971447153e+18,🇨🇵🍓🇷🇴,🇨🇵🍓🇷🇴
352,1.448553860168102e+18,France,France
353,1.4486474734261576e+18,Paris,Paris
354,1.4486707724409938e+18,Ireland,Ireland
355,1.4489340039150838e+18,45.1667 5.7167,45.1667 5.7167
356,1.450154386639016e+18,France,France
357,1.4504296823405732e+18,Bordeaux #Bacalan,Bordeaux #Bacalan
358,1.450440566278402e+18,Belgique,Belgique
359,1.4507538149239726e+18,Quelque part,Quelque part
360,1.4526521994865705e+18,"Grenoble, France","Grenoble, France"
361,1.452930682750128e+18,"Nantes, France","Nantes, France"
362,1.4536234979980247e+18,Port McNeill & Vancouver BC.,Port McNeill & Vancouver BC.
363,1.4536642460180234e+18,🇨🇵 🇷🇴,🇨🇵 🇷🇴
364,1.4536735744856105e+18,France,France
365,1.4537229332689142e+18,"Grenoble, France","Grenoble, France"
366,1.4555743676985672e+18,"ï¿½T: 38.283861,-85.683812","ï¿½T: 38.283861,-85.683812"
367,1.455574425399595e+18,"Paris, France","Paris, France"
368,1.455862209234473e+18,"Montréal, Québec","Montréal, Québec"
369,1.4562876321835008e+18,🇨🇵 🇷🇴,🇨🇵 🇷🇴
370,1.4577204709885952e+18,France,France
371,1.4579963425680425e+18,"Lycée Camille Claudel, Vauréal","Lycée Camille Claudel, Vauréal"
372,1.458080192824582e+18,Here for the time being. , for the time being. 
373,1.4584408190698332e+18,"Paris, France","Paris, France"
374,1.4585880137941402e+18,🇨🇵 🇷🇴,🇨🇵 🇷🇴
375,1.4588013837093317e+18,"Ile-de-France, France","Ile-Delaware, United States of America-France, France"
376,1.4590658897987297e+18,France,France
377,1.4590787297418772e+18,CovidLand depuis presque 2 ans,CovidLand depuis presque 2 ans
378,1.4590808832024084e+18,Sur votre chemin ,Sur votre chemin 
379,1.4590924780244664e+18,"Toulouse, France","Toulouse, France"
380,1.459138084256297e+18,Switzerland,Switzerland
381,1.4591496846358364e+18,Paris,Paris
382,1.4591570971999437e+18,Triangle des Bermudes,Triangle des Bermudes
383,1.4591595016350392e+18,"Paris, France","Paris, France"
384,1.4591615577834824e+18,Paname,Paname
385,1.4591740362908672e+18,Mon terrier,Mon terrier
386,1.4592033485953595e+18,Absurdistan,Absurdistan
387,1.4605421098328596e+18,"Paris, France","Paris, France"
388,1.4605903227784438e+18,🇫🇷 45°10′00 Nord 5°43′00 Est,🇫🇷 45°10′00 Nord 5°43′00 Est
389,1.4606032334796718e+18,"Paris, France","Paris, France"
390,1.4606376483982664e+18,Montpellier (France),Montpellier (France)
391,1.4608989473634836e+18,France,France
392,1.460901117538222e+18,Sur votre chemin ,Sur votre chemin 
393,1.4609237961818972e+18,Europe,Europe
394,1.4609343754707804e+18,"Paris, France","Paris, France"
395,1.46094375664819e+18,France,France
396,1.4609608349774766e+18,"Lyon, France","Lyon, France"
397,1.4609645503925617e+18,"Aspach-le-Haut, France","Aspach-le-Haut, France"
398,1.4609854358831964e+18,Montpellier (France),Montpellier (France)
399,1.4612404499648553e+18,France,France
400,1.4616119194130268e+18,"Paris, France","Paris, France"
401,1.4616438061562388e+18,"Montpellier,France","Montpellier,France"
402,1.461688662706602e+18,🇨🇵 🇷🇴,🇨🇵 🇷🇴
403,1.461717672278868e+18,🇨🇵 🇷🇴,🇨🇵 🇷🇴
404,1.46313118033374e+18,Le Mans,Le Mans
405,1.4631362218116506e+18,France,France
406,1.4634226649372836e+18,"Marseille-Cassis, France","Marseille-Cassis, France"
407,1.4634386919768596e+18,Wokistan 🙃,Wokistan 🙃
